Days,DIV,Bought,Qty,Profit,Low,High,Gap
1,BUY,27780,35,0,27765,27780,15
2,SELL,27790,35,350,27780,27790,10
2,BUY,27800,35,0,27770,27800,30
3,SELL,27810,35,350,27810,27810,0
3,BUY,27745,36,0,27745,27810,65
3,SELL,28085,36,12590,27590,28085,495
3,BUY,28080,35,0,27590,28085,495
3,SELL,28425,35,24665,27590,28425,835
3,BUY,28425,35,0,27590,28425,835
4,SELL,28435,35,350,28400,28435,35
4,BUY,28445,36,0,28400,28445,45
5,SELL,28455,36,360,28455,28455,0
5,BUY,28470,36,0,28405,28470,65
6,SELL,28480,36,360,28445,28480,35
6,BUY,28495,35,0,28445,28495,50
7,SELL,28505,35,350,28490,28505,15
7,BUY,28520,35,0,28470,28520,50
7,SELL,28870,35,12600,28410,28870,460
7,BUY,28865,35,0,28410,28870,460
8,SELL,28870,35,175,28860,28870,10
8,BUY,28885,35,0,28840,28885,45
9,SELL,28890,35,175,28885,28890,5
9,BUY,28905,35,0,28865,28905,40
9,SELL,29255,35,12425,28860,29255,395
9,BUY,29255,35,0,28860,29255,395
10,SELL,29265,35,350,29265,29265,0
10,BUY,29275,35,0,29260,29275,15
10,SELL,29635,35,12950,29215,29635,420
10,BUY,29630,35,0,29215,29635,420
11,SELL,29635,35,175,29635,29635,0
11,BUY,29650,35,0,29615,29650,35
12,SELL,29655,35,175,29640,29655,15
12,BUY,29670,35,0,29630,29670,40
12,SELL,30030,35,12775,29275,30030,755
12,BUY,30020,35,0,29275,30030,755
13,SELL,30030,35,350,30020,30030,10
13,BUY,30040,35,0,30020,30040,20
13,SELL,30405,35,13125,29890,30405,515
13,BUY,30395,35,0,29890,30405,515
14,SELL,30405,35,350,30380,30405,25
14,BUY,30415,35,0,30370,30415,45
15,SELL,30420,35,175,30370,30420,50
15,BUY,30435,35,0,30370,30435,65
16,SELL,30440,35,175,30435,30440,5
16,BUY,30460,35,0,30435,30460,25
17,SELL,30470,35,350,30470,30470,0
17,BUY,30485,35,0,30470,30485,15
17,SELL,30855,35,13300,30345,30855,510
17,BUY,30850,35,0,30345,30855,510
18,SELL,30855,35,175,30855,30855,0
18,BUY,30870,35,0,30855,30870,15
19,SELL,30875,35,175,30810,30875,65
19,BUY,30890,35,0,30810,30890,80
20,SELL,30895,35,175,30895,30895,0
20,BUY,30840,35,0,30840,30895,55
20,SELL,31215,35,13300,30805,31215,410
20,BUY,31220,35,0,30805,31220,415
20,SELL,31600,35,26600,30805,31600,795
20,BUY,31595,34,0,30805,31600,795
