Days,DIV,Bought,Qty,Profit
1,BUY,27700,108,0
2,SELL,27705,108,540
2,BUY,27725,108,0
2,SELL,28060,108,36720
2,BUY,28060,106,0
3,SELL,28065,106,530
3,BUY,28080,108,0
5,SELL,28085,108,540
5,BUY,28100,108,0
5,SELL,28440,108,37260
5,BUY,28435,106,0
5,SELL,28780,106,73830
5,BUY,28770,105,0
6,SELL,28780,105,1050
6,BUY,28790,108,0
7,SELL,28795,108,540
7,BUY,28815,108,0
8,SELL,28825,108,1080
8,BUY,28835,107,0
9,SELL,28845,107,1070
9,BUY,28855,107,0
10,SELL,28865,107,1070
10,BUY,28875,107,0
11,SELL,28885,107,1070
11,BUY,28825,108,0
11,SELL,29175,108,38870
11,BUY,29170,106,0
12,SELL,29180,106,1060
12,BUY,29190,108,0
12,SELL,29550,108,39940
12,BUY,29550,106,0
13,SELL,29560,106,1060
13,BUY,29570,108,0
13,SELL,29925,108,39400
13,BUY,29920,106,0
14,SELL,29930,106,1060
14,BUY,29940,108,0
15,SELL,29945,108,540
15,BUY,29960,107,0
16,SELL,29965,107,535
16,BUY,29980,107,0
17,SELL,29990,107,1070
17,BUY,30000,107,0
17,SELL,30365,107,40125
17,BUY,30360,106,0
18,SELL,30365,106,530
18,BUY,30385,107,0
18,SELL,30755,107,40120
18,BUY,30765,106,0
19,SELL,30770,106,530
19,BUY,30715,107,0
19,SELL,31085,107,40120
19,BUY,31090,106,0
19,SELL,31470,106,80400
19,BUY,31460,105,0
20,SELL,31465,105,525
20,BUY,31410,108,0
21,SELL,31415,108,540
21,BUY,31430,108,0
22,SELL,31440,108,1080
22,BUY,31450,108,0
23,SELL,31455,108,540
23,BUY,31470,108,0
24,SELL,31475,108,540
24,BUY,31495,107,0
25,SELL,31500,107,535
25,BUY,31445,108,0
26,SELL,31450,108,540
26,BUY,31465,108,0
27,SELL,31470,108,540
27,BUY,31490,108,0
27,SELL,31870,108,41580
27,BUY,31880,106,0
28,SELL,31885,106,530
28,BUY,31900,107,0
30,SELL,31910,107,1070
30,BUY,31920,107,0
31,SELL,31930,107,1070
31,BUY,31940,107,0
31,SELL,32325,107,42265
31,BUY,32335,106,0
32,SELL,32340,106,530
32,BUY,32360,107,0
33,SELL,32365,107,535
33,BUY,32385,107,0
34,SELL,32395,107,1070
34,BUY,32405,107,0
34,SELL,32800,107,43335
34,BUY,32790,106,0
35,SELL,32795,106,530
35,BUY,32815,107,0
36,SELL,32820,107,535
36,BUY,32840,107,0
37,SELL,32845,107,535
37,BUY,32865,107,0
37,SELL,33260,107,42800
37,BUY,33265,106,0
38,SELL,33270,106,530
38,BUY,33285,107,0
39,SELL,33290,107,535
39,BUY,33305,107,0
40,SELL,33310,107,535
40,BUY,33330,107,0
41,SELL,33340,107,1070
41,BUY,33350,107,0
41,SELL,33755,107,44405
41,BUY,33755,105,0
42,SELL,33760,105,525
42,BUY,33775,107,0
43,SELL,33780,107,535
43,BUY,33800,107,0
44,SELL,33805,107,535
44,BUY,33820,107,0
44,SELL,34230,107,44405
44,BUY,34235,105,0
45,SELL,34245,105,1050
45,BUY,34255,107,0
46,SELL,34260,107,535
46,BUY,34275,106,0
46,SELL,34690,106,44525
46,BUY,34700,105,0
47,SELL,34710,105,1050
47,BUY,34720,106,0
48,SELL,34725,106,530
48,BUY,34670,107,0
48,SELL,35090,107,45470
48,BUY,35090,105,0
49,SELL,35095,105,525
49,BUY,35110,107,0
50,SELL,35120,107,1070
50,BUY,35130,107,0
51,SELL,35140,107,1070
51,BUY,35150,106,0
52,SELL,35160,106,1060
52,BUY,35170,106,0
52,SELL,35595,106,46110
52,BUY,35585,105,0
53,SELL,35595,105,1050
53,BUY,35610,106,0
53,SELL,36040,106,46630
53,BUY,36035,105,0
54,SELL,36040,105,525
54,BUY,36055,106,0
55,SELL,36060,106,530
55,BUY,36075,106,0
56,SELL,36080,106,530
56,BUY,36095,106,0
57,SELL,36105,106,1060
57,BUY,36120,106,0
58,SELL,36125,106,530
58,BUY,36140,106,0
59,SELL,36150,106,1060
59,BUY,36165,106,0
60,SELL,36175,106,1060
60,BUY,36115,106,0
60,SELL,36555,106,47700
60,BUY,36565,105,0
61,SELL,36570,105,525
61,BUY,36590,106,0
61,SELL,37035,106,47695
61,BUY,37030,105,0
62,SELL,37035,105,525
62,BUY,36975,106,0
63,SELL,36980,106,530
63,BUY,37000,106,0
64,SELL,37005,106,530
64,BUY,37020,106,0
64,SELL,37465,106,47700
64,BUY,37470,105,0
65,SELL,37480,105,1050
65,BUY,37490,106,0
66,SELL,37500,106,1060
66,BUY,37510,106,0
67,SELL,37515,106,530
67,BUY,37530,106,0
67,SELL,37985,106,48760
67,BUY,37985,105,0
68,SELL,37990,105,525
68,BUY,38005,106,0
69,SELL,38010,106,530
69,BUY,38025,106,0
69,SELL,38485,106,49290
69,BUY,38495,105,0
70,SELL,38500,105,525
70,BUY,38520,106,0
71,SELL,38525,106,530
71,BUY,38540,106,0
72,SELL,38550,106,1060
72,BUY,38560,106,0
72,SELL,39025,106,50350
72,BUY,39035,105,0
72,SELL,39505,105,99700
72,BUY,39495,103,0
73,SELL,39500,103,515
73,BUY,39520,106,0
73,SELL,39995,106,50865
73,BUY,39985,105,0
74,SELL,39990,105,525
74,BUY,40010,106,0
74,SELL,40500,106,52465
74,BUY,40505,105,0
75,SELL,40510,105,525
75,BUY,40525,106,0
75,SELL,41015,106,52465
75,BUY,41025,104,0
75,SELL,41520,104,103945
75,BUY,41510,103,0
76,SELL,41520,103,1030
76,BUY,41530,106,0
77,SELL,41540,106,1060
77,BUY,41555,106,0
79,SELL,41560,106,530
79,BUY,41580,106,0
79,SELL,42085,106,54060
79,BUY,42080,104,0
80,SELL,42085,104,520
80,BUY,42105,106,0
81,SELL,42110,106,530
81,BUY,42130,106,0
82,SELL,42140,106,1060
82,BUY,42150,106,0
83,SELL,42160,106,1060
83,BUY,42170,105,0
84,SELL,42175,105,525
84,BUY,42190,105,0
84,SELL,42700,105,54075
84,BUY,42710,104,0
85,SELL,42715,104,520
85,BUY,42730,105,0
86,SELL,42735,105,525
86,BUY,42750,105,0
86,SELL,43265,105,54600
86,BUY,43260,104,0
87,SELL,43270,104,1040
87,BUY,43285,105,0
88,SELL,43290,105,525
88,BUY,43305,105,0
89,SELL,43310,105,525
89,BUY,43325,105,0
90,SELL,43330,105,525
90,BUY,43345,105,0
91,SELL,43355,105,1050
91,BUY,43365,105,0
93,SELL,43370,105,525
93,BUY,43390,105,0
94,SELL,43400,105,1050
94,BUY,43410,105,0
95,SELL,43420,105,1050
95,BUY,43430,105,0
96,SELL,43440,105,1050
96,BUY,43380,105,0
97,SELL,43385,105,525
97,BUY,43330,105,0
98,SELL,43340,105,1050
98,BUY,43350,105,0
99,SELL,43355,105,525
99,BUY,43370,105,0
99,SELL,43895,105,55650
99,BUY,43905,104,0
100,SELL,43915,104,1040
100,BUY,43925,105,0
101,SELL,43935,105,1050
101,BUY,43945,105,0
102,SELL,43950,105,525
102,BUY,43970,105,0
102,SELL,44500,105,56175
102,BUY,44500,104,0
103,SELL,44505,104,520
103,BUY,44520,105,0
104,SELL,44525,105,525
104,BUY,44545,105,0
105,SELL,44550,105,525
105,BUY,44570,105,0
106,SELL,44575,105,525
106,BUY,44595,105,0
107,SELL,44605,105,1050
107,BUY,44615,105,0
108,SELL,44625,105,1050
108,BUY,44635,105,0
109,SELL,44640,105,525
109,BUY,44585,105,0
110,SELL,44590,105,525
110,BUY,44605,105,0
111,SELL,44610,105,525
111,BUY,44630,105,0
112,SELL,44635,105,525
112,BUY,44650,105,0
113,SELL,44655,105,525
113,BUY,44675,105,0
114,SELL,44680,105,525
114,BUY,44695,105,0
115,SELL,44700,105,525
115,BUY,44720,105,0
115,SELL,45260,105,57225
115,BUY,45260,104,0
116,SELL,45265,104,520
116,BUY,45280,105,0
116,SELL,45825,105,57745
116,BUY,45820,104,0
117,SELL,45830,104,1040
117,BUY,45840,105,0
118,SELL,45850,105,1050
118,BUY,45790,105,0
119,SELL,45800,105,1050
119,BUY,45815,105,0
120,SELL,45820,105,525
120,BUY,45835,105,0
